City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
chokurdakh,1.0,RU,1592842867.0,65.0,70.63,147.92,43.02,13.13
saint george,1.0,US,1592842868.0,14.0,37.1,-113.58,87.01,5.82
tumpat,40.0,MY,1592842868.0,94.0,6.2,102.17,77.0,2.24
hobart,90.0,AU,1592842731.0,93.0,-42.88,147.33,55.99,6.93
byron bay,0.0,AU,1592842868.0,66.0,-28.65,153.62,52.0,6.93
avarua,0.0,CK,1592842569.0,69.0,-21.21,-159.78,73.4,13.87
albany,0.0,US,1592842849.0,48.0,42.6,-73.97,88.0,3.42
khatanga,94.0,RU,1592842868.0,50.0,71.97,102.5,66.87,12.33
gizo,86.0,SB,1592842868.0,78.0,-8.1,156.84,82.24,6.91
narsaq,40.0,GL,1592842869.0,28.0,60.92,-46.05,69.8,8.05
rikitea,86.0,PF,1592842869.0,60.0,-23.12,-134.97,69.49,14.99
georgetown,40.0,MY,1592842709.0,100.0,5.41,100.34,80.6,1.12
castro,0.0,BR,1592842869.0,43.0,-24.79,-50.01,73.9,3.02
tuatapere,31.0,NZ,1592842869.0,83.0,-46.13,167.68,39.0,3.0
cayenne,54.0,GF,1592842869.0,59.0,4.93,-52.33,89.6,10.29
tubuala,40.0,PA,1592842869.0,70.0,9.52,-79.03,87.8,2.24
busselton,54.0,AU,1592842869.0,57.0,-33.65,115.33,59.0,26.53
hermanus,5.0,ZA,1592842869.0,88.0,-34.42,19.23,57.0,11.16
krasnoselkup,0.0,RU,1592842870.0,68.0,65.7,82.47,53.91,23.73
reconquista,97.0,AR,1592842870.0,85.0,-29.15,-59.65,71.11,8.25
puerto ayora,40.0,EC,1592842668.0,73.0,-0.74,-90.35,75.2,12.75
mgandu,90.0,TZ,1592842870.0,44.0,-5.95,34.13,71.76,5.1
punta arenas,75.0,CL,1592842870.0,80.0,-53.15,-70.92,41.0,12.75
chuy,96.0,UY,1592842870.0,83.0,-33.7,-53.46,59.7,6.04
mount isa,1.0,AU,1592842870.0,48.0,-20.73,139.5,53.6,8.05
sao jose da coroa grande,2.0,BR,1592842870.0,72.0,-8.9,-35.15,81.19,11.48
gat,0.0,IL,1592842870.0,69.0,31.61,34.76,82.0,10.29
pokhara,40.0,NP,1592842819.0,79.0,28.23,83.98,74.16,1.01
saskylakh,1.0,RU,1592842871.0,53.0,71.92,114.08,70.21,7.18
marzuq,37.0,YE,1592842871.0,30.0,14.4,46.47,89.01,9.73
hilo,1.0,US,1592842682.0,77.0,19.73,-155.09,69.8,4.7
mar del plata,53.0,AR,1592842596.0,81.0,-38.0,-57.56,52.0,13.87
tasiilaq,40.0,GL,1592842871.0,43.0,65.61,-37.64,55.4,2.24
tanga,74.0,TZ,1592842871.0,79.0,-5.07,39.1,77.99,11.05
new norfolk,100.0,AU,1592842871.0,92.0,-42.78,147.06,55.99,1.99
bathsheba,40.0,BB,1592842630.0,70.0,13.22,-59.52,87.8,20.8
barrow,90.0,US,1592842872.0,93.0,71.29,-156.79,35.6,17.22
ilulissat,40.0,GL,1592842872.0,61.0,69.22,-51.1,48.2,5.82
urbano santos,58.0,BR,1592842872.0,52.0,-3.21,-43.4,87.67,5.95
la plaine,20.0,DM,1592842872.0,52.0,15.33,-61.25,91.4,9.17
ugoofaaru,100.0,MV,1592842872.0,78.0,5.67,73.0,83.98,12.46
nuuk,40.0,GL,1592842872.0,66.0,64.18,-51.72,50.0,8.05
kamenka,40.0,RU,1592842622.0,74.0,51.32,42.77,64.69,5.32
haines junction,90.0,CA,1592842671.0,54.0,60.75,-137.51,47.86,5.84
warmbad,0.0,NA,1592842873.0,26.0,-28.45,18.73,65.35,5.5
dingle,42.0,PH,1592842645.0,85.0,11.0,122.67,79.02,3.36
bredasdorp,1.0,ZA,1592842873.0,87.0,-34.53,20.04,57.2,2.1
jamestown,1.0,US,1592842594.0,65.0,42.1,-79.24,78.8,4.7
mezen,42.0,RU,1592842878.0,72.0,65.85,44.24,47.08,12.06
pevek,4.0,RU,1592842879.0,94.0,69.7,170.31,32.72,16.33
aykhal,32.0,RU,1592842879.0,63.0,66.0,111.5,64.4,6.71
rawson,100.0,AR,1592842879.0,39.0,-43.3,-65.1,55.31,24.61
pisco,90.0,PE,1592842879.0,82.0,-13.7,-76.22,64.0,4.7
hovd,14.0,MN,1592842879.0,42.0,48.01,91.64,53.04,1.12
arbuzynka,96.0,UA,1592842879.0,61.0,47.91,31.32,78.85,1.97
voh,0.0,NC,1592842879.0,85.0,-20.97,164.7,65.44,4.29
talnakh,99.0,RU,1592842660.0,62.0,69.49,88.4,59.0,6.71
arraial do cabo,0.0,BR,1592842880.0,51.0,-22.97,-42.03,89.6,3.31
owensboro,40.0,US,1592842867.0,78.0,37.77,-87.11,84.2,10.29
lagoa,86.0,PT,1592842880.0,91.0,39.05,-27.98,66.88,23.8
moron,20.0,AR,1592842880.0,67.0,-34.65,-58.62,60.01,11.41
nouadhibou,0.0,MR,1592842880.0,57.0,20.93,-17.03,74.41,25.52
troitsko-pechorsk,100.0,RU,1592842880.0,91.0,62.71,56.2,46.27,4.92
lebu,98.0,CL,1592842880.0,82.0,-37.62,-73.65,53.04,9.91
yeppoon,0.0,AU,1592842650.0,87.0,-23.13,150.73,50.0,2.24
sterling,40.0,US,1592842881.0,66.0,39.01,-77.43,87.01,9.17
kamaishi,100.0,JP,1592842881.0,86.0,39.27,141.88,62.29,12.3
lasa,75.0,IT,1592842881.0,59.0,46.62,10.7,75.99,9.17
codrington,100.0,AU,1592842654.0,86.0,-38.27,141.97,56.89,26.44
kaeo,55.0,NZ,1592842881.0,3.0,-35.1,173.78,60.01,11.01
los banos,20.0,PH,1592842881.0,83.0,14.17,121.18,84.2,4.7
tiksi,20.0,RU,1592842881.0,83.0,71.69,128.87,38.77,4.0
bluff,7.0,NZ,1592842882.0,83.0,-46.6,168.33,39.0,3.0
severo-kurilsk,14.0,RU,1592842882.0,83.0,50.68,156.12,45.93,7.29
portland,20.0,US,1592842653.0,72.0,45.52,-122.68,63.0,4.7
brae,96.0,GB,1592842882.0,67.0,60.4,-1.35,60.8,29.97
airai,86.0,TL,1592842641.0,100.0,-8.93,125.41,57.79,4.12
kapaa,90.0,US,1592842881.0,78.0,22.08,-159.32,77.0,14.99
santiago,90.0,CL,1592842793.0,93.0,-33.46,-70.65,50.0,2.46
esperance,100.0,AU,1592842882.0,37.0,-33.87,121.9,55.4,23.04
la sarre,5.0,CA,1592842883.0,52.0,48.8,-79.2,74.35,6.15
katobu,4.0,ID,1592842883.0,90.0,-4.94,122.53,73.08,4.43
carnarvon,90.0,AU,1592842883.0,100.0,-24.87,113.63,69.8,12.75
yellowknife,75.0,CA,1592842795.0,63.0,62.46,-114.35,72.0,5.82
lavrentiya,56.0,RU,1592842883.0,57.0,65.58,-171.0,56.43,8.03
ostrovnoy,100.0,RU,1592842883.0,76.0,68.05,39.51,44.58,16.78
vaini,40.0,TO,1592842884.0,100.0,-21.2,-175.2,73.4,5.82
arrecife,20.0,ES,1592842741.0,54.0,28.96,-13.55,80.6,20.8
melbourne,1.0,US,1592842765.0,70.0,28.08,-80.61,91.0,8.05
edson,90.0,CA,1592842884.0,82.0,53.58,-116.44,57.2,2.24
ribeira grande,75.0,PT,1592842884.0,94.0,38.52,-28.7,68.0,20.8
hithadhoo,100.0,MV,1592842884.0,68.0,-0.6,73.08,84.88,7.78
mayskiy,20.0,RU,1592842884.0,54.0,47.69,40.1,80.6,2.24
palmer,20.0,US,1592842661.0,55.0,42.16,-72.33,90.0,4.7
itacare,75.0,BR,1592842889.0,78.0,-14.28,-39.0,78.8,13.87
nalut,0.0,LY,1592842890.0,13.0,30.33,10.85,92.97,18.57
mataura,0.0,NZ,1592842890.0,83.0,-46.19,168.86,39.0,3.0
fairbanks,90.0,US,1592842621.0,93.0,64.84,-147.72,51.8,10.29
nemuro,100.0,JP,1592842890.0,92.0,43.32,145.57,53.35,9.24
conneaut,75.0,US,1592842890.0,78.0,41.95,-80.55,75.0,4.7
katsuura,100.0,JP,1592842890.0,86.0,35.13,140.3,68.0,3.0
richards bay,7.0,ZA,1592842890.0,74.0,-28.78,32.04,64.85,5.64
clyde river,1.0,CA,1592842891.0,76.0,70.47,-68.59,50.0,2.24
douentza,20.0,ML,1592842891.0,14.0,15.0,-2.95,105.26,10.85
vieste,75.0,IT,1592842891.0,53.0,41.88,16.18,77.0,17.22
padang,100.0,ID,1592842891.0,83.0,-0.95,100.35,77.31,3.98
abu dhabi,0.0,AE,1592842695.0,44.0,24.47,54.37,93.2,18.34
longyearbyen,4.0,SJ,1592842891.0,61.0,78.22,15.64,50.0,6.93
dongsheng,100.0,CN,1592842891.0,51.0,39.82,109.98,63.61,8.86
glenwood springs,1.0,US,1592842736.0,35.0,39.55,-107.32,75.2,4.7
manadhoo,100.0,MV,1592842892.0,79.0,5.77,73.38,84.0,14.97
ushuaia,40.0,AR,1592842892.0,86.0,-54.8,-68.3,33.8,1.86
chimbote,71.0,PE,1592842892.0,73.0,-9.09,-78.58,66.99,8.9
kodiak,90.0,US,1592842892.0,87.0,57.79,-152.41,50.0,9.17
kudat,75.0,MY,1592842892.0,83.0,6.88,116.85,84.0,4.7
malakal,26.0,SS,1592842892.0,59.0,9.53,31.66,85.6,3.98
namibe,0.0,AO,1592842893.0,50.0,-15.2,12.15,78.8,11.41
lompoc,99.0,US,1592842893.0,93.0,34.64,-120.46,57.2,4.7
araouane,0.0,ML,1592842893.0,7.0,18.9,-3.53,111.7,9.4
butaritari,100.0,KI,1592842893.0,73.0,3.07,172.79,82.98,9.93
lata,0.0,PT,1592842893.0,52.0,40.16,-8.33,90.0,10.54
carutapera,11.0,BR,1592842893.0,55.0,-1.2,-46.02,88.7,6.98
comodoro rivadavia,85.0,AR,1592842893.0,66.0,-45.87,-67.5,48.2,9.17
dalvik,90.0,IS,1592842893.0,81.0,65.97,-18.53,51.8,21.92
lev tolstoy,54.0,RU,1592842894.0,68.0,53.21,39.45,68.0,6.71
south lake tahoe,1.0,US,1592842894.0,48.0,38.93,-119.98,66.2,3.36
volgorechensk,0.0,RU,1592842894.0,43.0,57.44,41.16,69.8,2.24
raga,50.0,SS,1592842894.0,66.0,8.46,25.68,82.36,2.39
hyeres,0.0,FR,1592842894.0,42.0,43.12,6.12,90.0,6.93
biak,40.0,ID,1592842659.0,79.0,-0.91,122.88,76.89,7.47
mananara,32.0,MG,1592842895.0,88.0,-16.17,49.77,69.4,5.88
soe,61.0,ID,1592842895.0,100.0,-9.86,124.28,63.01,4.38
gallup,1.0,US,1592842895.0,13.0,35.53,-108.74,78.8,5.82
tuktoyaktuk,75.0,CA,1592842895.0,67.0,69.45,-133.04,57.2,4.7
buchanan,75.0,LR,1592842896.0,74.0,5.88,-10.05,86.0,11.41
hirara,74.0,JP,1592842896.0,88.0,24.8,125.28,83.43,8.48
dikson,100.0,RU,1592842896.0,88.0,73.51,80.55,43.84,13.0
yar-sale,79.0,RU,1592842896.0,67.0,66.83,70.83,45.97,15.19
sao joao da barra,0.0,BR,1592842901.0,40.0,-21.64,-41.05,86.0,4.7
mayumba,70.0,GA,1592842901.0,80.0,-3.43,10.66,75.18,8.95
thompson,75.0,CA,1592842629.0,72.0,55.74,-97.86,62.6,2.24
nanortalik,16.0,GL,1592842902.0,73.0,60.14,-45.24,47.77,2.57
havre-saint-pierre,40.0,CA,1592842902.0,77.0,50.23,-63.6,62.6,2.24
redwater,75.0,US,1592842902.0,83.0,33.36,-94.25,77.0,4.7
fortuna,90.0,US,1592842902.0,100.0,40.6,-124.16,60.01,3.36
cabo san lucas,5.0,MX,1592842802.0,61.0,22.89,-109.91,81.0,5.82
teruel,11.0,ES,1592842902.0,27.0,40.67,-0.67,86.0,6.93
marawi,46.0,PH,1592842902.0,87.0,8.0,124.29,77.0,5.99
meulaboh,100.0,ID,1592842902.0,90.0,4.14,96.13,76.93,3.51
bethel,40.0,US,1592842903.0,51.0,41.37,-73.41,90.0,4.7
cape town,20.0,ZA,1592842801.0,93.0,-33.93,18.42,63.0,10.29
sorland,34.0,NO,1592842903.0,77.0,67.67,12.69,60.8,11.41
jiazi,99.0,CN,1592842903.0,87.0,22.88,116.07,82.4,9.19
luderitz,0.0,NA,1592842903.0,77.0,-26.65,15.16,60.8,11.41
socorro,5.0,US,1592842903.0,11.0,31.65,-106.3,91.4,12.75
lorengau,79.0,PG,1592842629.0,72.0,-2.02,147.27,82.49,4.23
tahta,0.0,EG,1592842903.0,8.0,26.77,31.5,109.4,13.87
vila velha,0.0,BR,1592842707.0,57.0,-20.33,-40.29,80.6,6.93
goure,50.0,NE,1592842900.0,15.0,13.98,10.27,102.99,8.01
port hardy,90.0,CA,1592842904.0,93.0,50.7,-127.42,53.6,9.17
camana,63.0,PE,1592842904.0,64.0,-16.62,-72.71,66.16,6.85
coquimbo,75.0,CL,1592842904.0,82.0,-29.95,-71.34,57.2,3.36
bay-khaak,100.0,RU,1592842904.0,67.0,51.17,94.5,53.19,10.65
ponta do sol,20.0,PT,1592842904.0,60.0,32.67,-17.1,75.2,14.99
kayerkan,100.0,RU,1592842905.0,58.0,69.35,87.76,59.0,6.71
qaqortoq,40.0,GL,1592842905.0,28.0,60.72,-46.03,69.8,8.05
dunedin,0.0,NZ,1592842880.0,80.0,-45.87,170.5,44.01,11.99
te anau,22.0,NZ,1592842905.0,85.0,-45.42,167.72,38.75,1.05
mahajanga,2.0,MG,1592842905.0,54.0,-15.72,46.32,80.6,3.36
manono,2.0,CD,1592842905.0,29.0,-7.3,27.42,81.28,3.22
garden city,75.0,US,1592842905.0,69.0,42.33,-83.33,80.6,4.65
hamilton,75.0,US,1592842905.0,65.0,39.18,-84.53,80.01,9.17
rio tercero,100.0,AR,1592842906.0,36.0,-32.17,-64.11,63.0,1.99
prince rupert,90.0,CA,1592842763.0,81.0,54.32,-130.32,53.6,16.11
gambo,92.0,CF,1592842906.0,83.0,4.65,22.26,78.64,1.05
berlevag,90.0,NO,1592842906.0,81.0,70.86,29.09,42.8,11.41
port elizabeth,0.0,ZA,1592842899.0,93.0,-33.92,25.57,57.2,3.36
iqaluit,40.0,CA,1592842733.0,57.0,63.75,-68.51,50.0,4.7
lima,90.0,PE,1592842906.0,72.0,-12.04,-77.03,64.4,6.93
vestmannaeyjar,40.0,IS,1592842907.0,81.0,63.44,-20.27,51.8,11.41
nikolskoye,29.0,RU,1592842895.0,40.0,59.7,30.79,71.6,6.71
saint-philippe,90.0,RE,1592842907.0,73.0,-21.36,55.77,73.4,2.24
korla,0.0,CN,1592842907.0,69.0,41.76,86.15,82.0,1.99
abaetetuba,40.0,BR,1592842907.0,55.0,-1.72,-48.88,89.6,9.17
willowmore,0.0,ZA,1592842907.0,43.0,-33.29,23.49,52.23,4.72
tabou,77.0,CI,1592842912.0,80.0,4.42,-7.35,78.6,11.68
hurghada,0.0,EG,1592842631.0,12.0,27.26,33.81,104.0,6.93
tsabong,0.0,BW,1592842669.0,36.0,-26.02,22.4,57.11,3.31
geraldton,75.0,AU,1592842913.0,59.0,-28.77,114.6,64.4,18.34
torbay,90.0,CA,1592842913.0,51.0,47.67,-52.73,63.0,12.75
shablykino,99.0,RU,1592842913.0,89.0,52.86,35.2,66.99,11.59
bima,79.0,ID,1592842913.0,87.0,-8.47,118.72,72.91,3.49
umm kaddadah,0.0,SD,1592842671.0,16.0,13.6,26.69,99.93,1.86
saint anthony,1.0,US,1592842914.0,46.0,45.02,-93.22,70.0,6.93
flinders,40.0,AU,1592842914.0,62.0,-34.58,150.86,52.0,5.99
chongwe,95.0,ZM,1592842914.0,44.0,-15.33,28.68,61.59,3.06
dawson creek,20.0,CA,1592842914.0,45.0,55.77,-120.24,62.6,8.05
nyandoma,41.0,RU,1592842914.0,47.0,61.67,40.2,67.23,4.65
klaksvik,88.0,FO,1592842653.0,87.0,62.23,-6.59,50.0,31.09
idrinskoye,100.0,RU,1592842914.0,90.0,54.37,92.14,52.02,1.86
custodia,2.0,BR,1592842914.0,35.0,-8.09,-37.64,85.62,15.01
karaton,40.0,ID,1592842915.0,83.0,-6.34,106.1,78.8,4.7
arona,1.0,ES,1592842915.0,54.0,28.1,-16.68,80.6,17.22
urumqi,0.0,CN,1592842646.0,28.0,43.8,87.6,71.6,4.47
kendari,1.0,ID,1592842915.0,91.0,-3.94,122.5,73.49,3.18
ayan,80.0,RU,1592842915.0,95.0,56.45,138.17,41.59,2.35
mwinilunga,0.0,ZM,1592842915.0,35.0,-11.74,24.43,65.93,3.62
port alfred,0.0,ZA,1592842915.0,87.0,-33.59,26.89,57.99,7.56
odweyne,70.0,SO,1592842915.0,25.0,9.41,45.06,85.75,12.1
avare,3.0,BR,1592842885.0,46.0,-23.1,-48.93,76.77,4.76
cherskiy,43.0,RU,1592842916.0,64.0,68.75,161.3,46.33,14.65
januaria,0.0,BR,1592842916.0,39.0,-15.48,-44.37,84.88,4.92
bud,40.0,US,1592842916.0,78.0,39.45,-86.18,82.0,5.82
salalah,40.0,OM,1592842916.0,89.0,17.02,54.09,84.2,6.93
mahebourg,40.0,MU,1592842637.0,83.0,-20.41,57.7,71.6,10.29
mahon,0.0,ES,1592842916.0,50.0,39.89,4.27,78.8,21.92
pipri,40.0,IN,1592842916.0,62.0,19.8,75.53,84.2,4.7
ponta delgada,20.0,PT,1592842917.0,83.0,37.73,-25.67,69.8,11.41
erzin,0.0,TR,1592842917.0,81.0,36.96,36.2,75.99,5.99
stornoway,20.0,GB,1592842917.0,67.0,58.21,-6.39,59.0,18.34
ahipara,24.0,NZ,1592842917.0,86.0,-35.17,173.17,57.33,10.76
paraguacu,0.0,BR,1592842917.0,47.0,-21.55,-45.74,76.5,2.46
ouahigouya,24.0,BF,1592842917.0,17.0,13.58,-2.42,103.55,8.88
atuona,11.0,PF,1592842918.0,82.0,-9.8,-139.03,79.9,16.4
east london,6.0,ZA,1592842892.0,72.0,-33.02,27.91,67.64,11.14
corinto,30.0,GR,1592842918.0,72.0,37.94,22.96,72.0,1.99
samarai,56.0,PG,1592842918.0,85.0,-10.62,150.67,79.59,11.92
rehoboth,0.0,NA,1592842701.0,25.0,-23.32,17.08,65.17,8.77
port hawkesbury,40.0,CA,1592842918.0,83.0,45.62,-61.35,71.01,9.17
sambava,36.0,MG,1592842918.0,78.0,-14.27,50.17,73.96,14.61
grand-santi,82.0,GF,1592842918.0,63.0,4.25,-54.38,86.81,3.83
colares,1.0,PT,1592842924.0,45.0,38.8,-9.45,87.01,16.11
agen,0.0,FR,1592842924.0,42.0,44.2,0.63,80.6,6.93
ranfurly,0.0,NZ,1592842924.0,92.0,-45.13,170.1,32.0,3.15
kobayashi,0.0,JP,1592842924.0,83.0,31.98,130.98,71.01,4.0
abriaqui,40.0,CO,1592842924.0,51.0,6.63,-76.06,80.6,5.82
cidreira,49.0,BR,1592842636.0,84.0,-30.18,-50.21,67.03,4.85
hasaki,75.0,JP,1592842925.0,93.0,35.73,140.83,64.4,14.99
portsmouth,0.0,GB,1592842754.0,59.0,50.8,-1.09,70.0,3.0
seka,53.0,TH,1592842925.0,74.0,17.93,103.96,83.05,2.62
upernavik,0.0,GL,1592842925.0,73.0,72.79,-56.15,41.0,6.29
fereydun kenar,40.0,IR,1592842925.0,45.0,36.69,52.52,84.2,4.7
enterprise,20.0,US,1592842925.0,12.0,36.03,-115.24,93.2,3.36
kavieng,86.0,PG,1592842926.0,70.0,-2.57,150.8,83.93,6.55
asau,75.0,RO,1592842926.0,100.0,46.43,26.4,72.0,13.87
anchorage,75.0,US,1592842926.0,66.0,61.22,-149.9,54.0,3.74
okhotsk,43.0,RU,1592842926.0,90.0,59.38,143.3,44.94,7.96
mahibadhoo,100.0,MV,1592842926.0,77.0,3.78,72.97,83.97,13.2
puerto colombia,40.0,CO,1592842926.0,75.0,10.99,-74.95,89.6,4.7
longwy,0.0,FR,1592842926.0,55.0,49.52,5.77,73.99,5.99
robertson,90.0,US,1592842927.0,78.0,36.52,-86.87,80.01,8.05
olga,100.0,RU,1592842927.0,94.0,43.74,135.29,57.13,3.18
quatre cocos,40.0,MU,1592842927.0,83.0,-20.21,57.76,72.0,10.29
sorong,100.0,ID,1592842927.0,85.0,-0.88,131.25,79.27,8.1
forio,43.0,IT,1592842927.0,77.0,40.73,13.86,80.01,14.0
bengkulu,100.0,ID,1592842652.0,90.0,-3.8,102.27,77.22,7.76
vao,81.0,NC,1592842928.0,70.0,-22.67,167.48,71.74,10.33
broken hill,0.0,AU,1592842928.0,81.0,-31.95,141.43,44.6,12.75
jumla,94.0,NP,1592842928.0,65.0,29.27,82.18,62.42,1.48
victoria,49.0,HK,1592842877.0,74.0,22.29,114.16,86.0,10.0
berdigestyakh,23.0,RU,1592842928.0,75.0,62.1,126.7,54.46,6.8
kharan,3.0,PK,1592842928.0,14.0,28.58,65.42,99.03,3.89
baykit,53.0,RU,1592842633.0,52.0,61.67,96.37,66.87,3.02
krasnoborsk,95.0,RU,1592842928.0,49.0,61.56,45.93,65.25,6.82
hasuda,100.0,JP,1592842928.0,49.0,35.98,139.65,66.99,7.96
broome,20.0,US,1592842911.0,61.0,42.25,-75.83,84.99,3.36
maketu,0.0,NZ,1592842929.0,92.0,-37.77,176.45,50.0,10.87
shwebo,92.0,MM,1592842929.0,64.0,22.57,95.7,85.5,12.53
bograd,75.0,RU,1592842929.0,87.0,54.23,90.83,53.6,4.47
muisne,75.0,EC,1592842929.0,83.0,0.6,-80.03,82.4,8.05
manado,20.0,ID,1592842929.0,88.0,1.49,124.85,77.0,2.24
ocos,75.0,GT,1592842935.0,79.0,14.51,-92.19,86.0,8.63
bashmakovo,19.0,RU,1592842935.0,73.0,53.21,43.03,63.28,6.33
